CPU: Intel Sandy Bridge microarchitecture, speed 2.301e+06 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
2716     5261619        0.0489  94.6985    tlb.c:184                   vmlinux                  flush_tlb_mm_range
2605     5264224        0.0469  94.7454    page_alloc.c:1079           vmlinux                  __rmqueue
2600     5266824        0.0468  94.7922    arena.c:205                 redis-server             arena_chunk_dirty_remove
2573     5269397        0.0463  94.8385    tcp.c:441                   vmlinux                  tcp_poll
2548     5271945        0.0459  94.8844    slowlog.c:113               redis-server             slowlogPushEntryIfNeeded
2518     5274463        0.0453  94.9297    dev.c:3199                  vmlinux                  __netif_receive_skb
2464     5276927        0.0443  94.9740    arena.c:205                 redis-server             arena_chunk_dirty_insert
2451     5279378        0.0441  95.0182    tcp_output.c:986            vmlinux                  tcp_transmit_skb
2426     5281804        0.0437  95.0618    spinlock.c:144              vmlinux                  _raw_spin_lock_irqsave
2369     5284173        0.0426  95.1045    t_list.c:491                redis-server             popGenericCommand
2367     5286540        0.0426  95.1471    ip_tables.c:293             vmlinux                  ipt_do_table
2311     5288851        0.0416  95.1887    t_string.c:269              redis-server             incrDecrCommand
2311     5291162        0.0416  95.2302    swap.c:161                  vmlinux                  put_page
2295     5293457        0.0413  95.2716    page_alloc.c:5472           vmlinux                  get_pageblock_flags_group
2253     5295710        0.0405  95.3121    (no location information)   libpthread-2.16.so       pthread_mutex_lock
2251     5297961        0.0405  95.3526    swap.c:450                  vmlinux                  __lru_cache_add
2233     5300194        0.0402  95.3928    t_list.c:297                redis-server             pushGenericCommand
2223     5302417        0.0400  95.4328    hooks.c:3804                vmlinux                  sock_has_perm
2207     5304624        0.0397  95.4725    dict.c:501                  redis-server             dictFetchValue
2200     5306824        0.0396  95.5121    networking.c:1013           redis-server             readQueryFromClient
2189     5309013        0.0394  95.5515    (no location information)   libc-2.16.so             __ctype_tolower_loc
2093     5311106        0.0377  95.5892    read_write.c:297            vmlinux                  rw_verify_area
1985     5313091        0.0357  95.6249    list_debug.c:76             vmlinux                  list_del
1980     5315071        0.0356  95.6606    memcontrol.c:1025           vmlinux                  mem_cgroup_count_vm_event
1958     5317029        0.0352  95.6958    file_table.c:398            vmlinux                  fget_light
1954     5318983        0.0352  95.7310    tcp_output.c:1954           vmlinux                  tcp_write_xmit
1901     5320884        0.0342  95.7652    ip_output.c:327             vmlinux                  ip_queue_xmit
1894     5322778        0.0341  95.7993    swap.c:438                  vmlinux                  mark_page_accessed
1879     5324657        0.0338  95.8331    core.c:4743                 vmlinux                  _cond_resched
1865     5326522        0.0336  95.8667    memcontrol.c:2353           vmlinux                  __mem_cgroup_try_charge
1851     5328373        0.0333  95.9000    networking.c:790            redis-server             processInlineBuffer
1842     5330215        0.0332  95.9331    fsnotify.c:205              vmlinux                  fsnotify
1835     5332050        0.0330  95.9661    ae.c:319                    redis-server             aeProcessEvents
1801     5333851        0.0324  95.9986    arena.c:621                 redis-server             arena_run_alloc_helper.constprop.13
1787     5335638        0.0322  96.0307    memcontrol.c:1104           vmlinux                  mem_cgroup_page_lruvec
1786     5337424        0.0321  96.0629    mempolicy.c:1906            vmlinux                  alloc_pages_vma
1758     5339182        0.0316  96.0945    filemap.c:2049              vmlinux                  iov_iter_fault_in_readable
1727     5340909        0.0311  96.1256    rmap.c:1161                 vmlinux                  page_remove_rmap
1688     5342597        0.0304  96.1560    avc.c:769                   vmlinux                  avc_has_perm_flags
1687     5344284        0.0304  96.1863    skbuff.c:210                vmlinux                  __alloc_skb
1676     5345960        0.0302  96.2165    t_set.c:250                 redis-server             saddCommand
1613     5347573        0.0290  96.2455    (no location information)   libpthread-2.16.so       __pthread_mutex_unlock_usercnt
1605     5349178        0.0289  96.2744    hooks.c:3016                vmlinux                  selinux_file_permission
1584     5350762        0.0285  96.3029    sock.c:2074                 vmlinux                  sock_def_readable
1579     5352341        0.0284  96.3313    rwsem.c:73                  vmlinux                  up_read
1565     5353906        0.0282  96.3595    file_table.c:343            vmlinux                  fget
1536     5355442        0.0276  96.3872    arena.c:962                 redis-server             arena_run_dalloc
1510     5356952        0.0272  96.4143    t_list.c:53                 redis-server             listTypePush
1507     5358459        0.0271  96.4415    rwsem.c:32                  vmlinux                  down_read_trylock
1478     5359937        0.0266  96.4681    page_alloc.c:696            vmlinux                  free_pages_prepare
1474     5361411        0.0265  96.4946    arena.c:372                 redis-server             arena_run_split.constprop.15
1428     5362839        0.0257  96.5203    core.c:132                  vmlinux                  nf_iterate
1382     5364221        0.0249  96.5452    object.c:460                redis-server             getLongLongFromObject
1358     5365579        0.0244  96.5696    timer.c:871                 vmlinux                  mod_timer
1350     5366929        0.0243  96.5939    softirq.c:185               vmlinux                  local_bh_enable
1342     5368271        0.0242  96.6181    spinlock.c:160              vmlinux                  _raw_spin_lock_bh
1341     5369612        0.0241  96.6422    file_table.c:305            vmlinux                  fput
1329     5370941        0.0239  96.6661    spinlock.c:176              vmlinux                  _raw_spin_unlock_irqrestore
1328     5372269        0.0239  96.6900    redis.c:436                 redis-server             dictSdsCaseHash
1326     5373595        0.0239  96.7139    (no location information)   libc-2.16.so             __GI_____strtoll_l_internal
1301     5374896        0.0234  96.7373    tcp_ipv4.c:1726             vmlinux                  tcp_v4_rcv
1292     5376188        0.0233  96.7605    t_string.c:45               redis-server             setGenericCommand
1292     5377480        0.0233  96.7838    ip_output.c:223             vmlinux                  ip_finish_output
1273     5378753        0.0229  96.8067    dict.c:407                  redis-server             dictDelete
1272     5380025        0.0229  96.8296    entry_64.S:509              vmlinux                  system_call_after_swapgs
1258     5381283        0.0226  96.8522    slub.c:2448                 vmlinux                  __slab_free
1256     5382539        0.0226  96.8748    mempolicy.c:1969            vmlinux                  alloc_pages_current
1255     5383794        0.0226  96.8974    arena.c:283                 redis-server             arena_avail_remove
1249     5385043        0.0225  96.9199    ip_input.c:384              vmlinux                  ip_rcv
1238     5386281        0.0223  96.9422    vmstat.c:213                vmlinux                  __mod_zone_page_state
1221     5387502        0.0220  96.9642    core.c:820                  vmlinux                  account_system_vtime
1194     5388696        0.0215  96.9857    adlist.c:81                 redis-server             listAddNodeHead
1194     5389890        0.0215  97.0072    db.c:81                     redis-server             lookupKeyWriteOrReply
1174     5391064        0.0211  97.0283    entry_64.S:1467             vmlinux                  error_entry
1165     5392229        0.0210  97.0492    (no location information)   libc-2.16.so             __strstr_sse42
1160     5393389        0.0209  97.0701    softirq.c:208               vmlinux                  __do_softirq
1143     5394532        0.0206  97.0907    redis.c:1448                redis-server             lookupCommand
1119     5395651        0.0201  97.1108    object.c:484                redis-server             getLongLongFromObjectOrReply
1118     5396769        0.0201  97.1310    tcp_input.c:586             vmlinux                  tcp_event_data_recv
1107     5397876        0.0199  97.1509    mmap.c:1606                 vmlinux                  find_vma
