CPU: Intel Sandy Bridge microarchitecture, speed 2294.79 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 200000
samples  cum. samples  %        cum. %     linenr info                 image name               symbol name
2        5664661       3.5e-05  99.9995    adlist.c:179                redis-server             listGetIterator
2        5664663       3.5e-05  99.9995    adlist.c:198                redis-server             listRewind
2        5664665       3.5e-05  99.9996    pubsub.c:172                redis-server             pubsubUnsubscribeAllChannels
2        5664667       3.5e-05  99.9996    ziplist.c:879               redis-server             ziplistLen
1        5664668       1.8e-05  99.9996    (no location information)   libc-2.16.so             __memcpy_sse2
1        5664669       1.8e-05  99.9996    (no location information)   libc-2.16.so             __mempcpy_sse2
1        5664670       1.8e-05  99.9996    (no location information)   libc-2.16.so             dcgettext
1        5664671       1.8e-05  99.9997    (no location information)   libpthread-2.16.so       __accept_nocancel
1        5664672       1.8e-05  99.9997    (no location information)   libpthread-2.16.so       close
1        5664673       1.8e-05  99.9997    anet.c:61                   redis-server             anetNonBlock
1        5664674       1.8e-05  99.9997    chunk.c:210                 redis-server             chunk_record.constprop.1
1        5664675       1.8e-05  99.9997    dict.c:176                  redis-server             dictCreate
1        5664676       1.8e-05  99.9998    dict.c:561                  redis-server             dictReleaseIterator
1        5664677       1.8e-05  99.9998    db.c:169                    redis-server             emptyDb
1        5664678       1.8e-05  99.9998    extent.c:39                 redis-server             extent_tree_ad_insert
1        5664679       1.8e-05  99.9998    extent.c:39                 redis-server             extent_tree_ad_prev
1        5664680       1.8e-05  99.9998    extent.c:26                 redis-server             extent_tree_szad_nsearch
1        5664681       1.8e-05  99.9998    adlist.c:223                redis-server             listNext
1        5664682       1.8e-05  99.9999    t_list.c:271                redis-server             listTypeConvert
1        5664683       1.8e-05  99.9999    t_list.c:178                redis-server             listTypeGet
1        5664684       1.8e-05  99.9999    t_list.c:148                redis-server             listTypeNext
1        5664685       1.8e-05  99.9999    replication.c:742           redis-server             replicationCron
1        5664686       1.8e-05  99.9999    sds.c:57                    redis-server             sdsempty
1        5664687       1.8e-05  99.9999    ziplist.c:410               redis-server             zipEntry
1        5664688       1.8e-05  100.000    ziplist.c:311               redis-server             zipRawEntryLength
1        5664689       1.8e-05  100.000    ziplist.c:746               redis-server             ziplistGet
1        5664690       1.8e-05  100.000    ziplist.c:429               redis-server             ziplistResize
